date,3D Printing,Apps,Camera Equipment,DIY Electronics,Fabrication Tools,Flight,Gadgets,Hardware,Makerspaces,Robots,Software,Sound,Space Exploration,Technology,Wearables,Web
20131027,83.33333333,100,92.30769231,100,88.88888889,100,100,41.61248375,100,97.43589744,21.44177449,100,100,29.36802974,0,100
20131027,83.33333333,100,92.30769231,100,88.88888889,100,100,41.61248375,100,97.43589744,21.44177449,100,100,29.49907236,0,100
20131028,83.33333333,100,92.30769231,100,88.88888889,100,100,41.61248375,100,97.43589744,21.44177449,100,100,29.47173309,0,100
20131028,83.33333333,100,92.30769231,100,88.88888889,100,100,41.50453956,100,97.43589744,21.44177449,100,100,29.47173309,0,100
20131028,83.33333333,100,92.30769231,100,88.88888889,100,100,41.65588616,100,97.43589744,21.44177449,100,100,29.47173309,0,100
20131029,83.33333333,100,92.30769231,100,88.88888889,100,100,41.60206718,100,97.43589744,21.40221402,100,100,29.47173309,0,100
20131029,83.33333333,100,92.30769231,100,88.88888889,100,100,41.67741935,100,97.43589744,21.40221402,100,100,29.53703704,0,100
20131030,83.33333333,100,92.30769231,100,88.88888889,100,100,41.67741935,100,97.43589744,21.40221402,100,100,29.50971323,0,100
20131030,83.33333333,100,92.30769231,100,88.88888889,100,100,41.67741935,100,97.43589744,21.40221402,100,100,29.45521699,0,100
20131030,83.33333333,100,92.85714286,100,88.88888889,100,100,41.67741935,100,97.43589744,21.40221402,100,100,29.45521699,0,100
20131030,83.33333333,100,92.85714286,100,88.88888889,100,100,41.62371134,100,97.43589744,21.40221402,100,100,29.45521699,0,100
20131031,83.33333333,100,92.85714286,100,88.88888889,100,100,41.51670951,100,97.43589744,21.40221402,100,100,29.42804428,0,100
20131031,83.33333333,100,92.85714286,100,88.88888889,100,100,41.51670951,100,97.43589744,21.40221402,100,100,29.49308756,0,100
20131101,83.33333333,100,92.85714286,100,88.88888889,100,100,41.51670951,100,97.43589744,21.36279926,100,100,29.49308756,0,100
20131101,83.33333333,100,92.85714286,100,88.88888889,100,100,41.41025641,100,97.43589744,21.36279926,100,100,29.41176471,0,100
20131101,83.33333333,100,92.85714286,100,88.88888889,100,100,41.63473819,100,97.43589744,21.36279926,100,100,29.5412844,0,100
20131102,83.33333333,100,92.85714286,100,88.88888889,100,100,41.63473819,100,97.43589744,21.36279926,100,100,29.51420715,0,100
20131102,83.33333333,100,92.85714286,100,88.88888889,100,100,41.63473819,100,97.43589744,21.32352941,100,100,29.51420715,0,100
20131102,83.33333333,100,92.85714286,100,88.88888889,100,100,41.63473819,100,97.43589744,21.32352941,100,100,29.48717949,0,100
20131103,83.33333333,100,92.85714286,100,88.88888889,100,100,41.52866242,100,97.43589744,21.32352941,100,100,29.46020128,0,100
20131103,83.33333333,100,92.85714286,100,88.88888889,100,100,41.60305344,100,97.43589744,21.46788991,100,100,29.46020128,0,100
20131104,83.33333333,100,92.85714286,100,88.88888889,100,100,41.60305344,100,97.43589744,21.46788991,100,100,29.43327239,0,100
20131104,83.33333333,100,92.85714286,100,88.88888889,100,100,41.60305344,100,97.43589744,21.46788991,100,100,29.40639269,0,100
20131105,83.33333333,100,92.85714286,100,88.88888889,100,100,41.6772554,100,97.43589744,21.46788991,100,100,29.40639269,0,100
20131106,83.33333333,100,92.85714286,100,88.88888889,100,100,41.62436548,100,97.43589744,21.42857143,100,100,29.37956204,0,100
20131106,83.33333333,100,92.85714286,100,88.88888889,100,100,41.7721519,100,97.43589744,21.42857143,100,100,29.37956204,0,100
20131107,83.33333333,100,92.85714286,100,88.88888889,100,100,41.84576485,100,97.43589744,21.42857143,100,100,29.37956204,0,100
20131108,83.33333333,100,92.85714286,100,88.88888889,100,100,41.84576485,100,97.43589744,21.38939671,100,100,29.35278031,0,100
20131108,83.33333333,100,92.85714286,100,88.88888889,100,100,41.79292929,100,97.43589744,21.38939671,100,100,29.35278031,0,100
20131108,83.33333333,100,92.85714286,100,88.88888889,100,100,41.79292929,100,97.43589744,21.38939671,100,100,29.41712204,0,100
20131109,83.33333333,100,92.85714286,100,88.88888889,100,100,41.79292929,100,97.43589744,21.35036496,100,100,29.41712204,0,100
20131109,83.33333333,100,92.85714286,100,88.88888889,100,100,41.79292929,100,97.43589744,21.27272727,100,100,29.33696639,0,100
20131109,83.33333333,100,92.85714286,100,88.88888889,100,100,41.79292929,100,97.43589744,21.27272727,100,100,29.40108893,0,100
20131110,83.33333333,100,92.85714286,100,88.88888889,100,100,41.74022699,100,97.43589744,21.27272727,100,100,29.40108893,0,100
20131110,83.33333333,100,92.85714286,100,88.88888889,100,100,41.81360202,100,97.43589744,21.27272727,100,100,29.52898551,0,100
20131112,83.33333333,100,92.85714286,100,88.88888889,100,100,41.81360202,100,97.43589744,21.27272727,100,100,29.50226244,0,100
20131112,76.92307692,100,92.85714286,100,88.88888889,100,100,41.81360202,100,97.43589744,21.27272727,100,100,29.4755877,0,100
20131112,76.92307692,100,93.33333333,100,88.88888889,100,100,41.81360202,100,97.43589744,21.27272727,100,100,29.4755877,0,100
20131113,76.92307692,100,93.33333333,100,88.88888889,100,100,41.81360202,100,97.43589744,21.23411978,100,100,29.4755877,0,100
20131114,76.92307692,100,93.33333333,100,88.88888889,100,100,41.81360202,100,97.43589744,21.19565217,100,100,29.4755877,0,100
20131114,76.92307692,100,93.33333333,100,88.88888889,100,100,41.76100629,100,97.43589744,21.15732369,100,100,29.44896116,0,100
20131114,76.92307692,100,93.33333333,100,88.88888889,100,100,41.83417085,100,97.43589744,21.15732369,100,100,29.44896116,0,100
20131115,76.92307692,100,93.33333333,100,88.88888889,100,100,41.7816813,100,97.43589744,21.15732369,100,100,29.44896116,0,100
20131115,76.92307692,100,93.33333333,100,88.88888889,100,100,41.72932331,100,97.43589744,21.15732369,100,100,29.31654676,0,100
20131115,76.92307692,100,93.33333333,100,88.88888889,100,100,41.94756554,100,97.43589744,21.15732369,100,100,29.44344704,0,100
20131116,76.92307692,100,93.33333333,100,88.88888889,100,100,41.94756554,100,97.43589744,21.11913357,100,100,29.44344704,0,100
20131116,76.92307692,100,93.33333333,100,88.88888889,100,100,41.89526185,100,97.43589744,21.11913357,100,100,29.41704036,0,100
20131116,76.92307692,100,93.33333333,100,88.88888889,100,100,42.039801,100,97.43589744,21.11913357,100,100,29.48028674,0,100
20131117,76.92307692,100,93.33333333,100,88.88888889,100,100,42.039801,100,97.43589744,21.11913357,100,100,29.45389436,0,100
20131118,76.92307692,100,93.33333333,100,88.88888889,100,100,41.98757764,100,97.43589744,21.11913357,100,100,29.45389436,0,100
20131118,78.57142857,100,93.33333333,100,88.88888889,100,100,42.05955335,100,97.43589744,21.11913357,100,100,29.45389436,0,100
20131119,78.57142857,100,93.33333333,100,88.88888889,100,100,42.00743494,100,97.43589744,21.11913357,100,100,29.45389436,0,100
20131119,78.57142857,100,93.33333333,100,88.88888889,100,100,42.00743494,100,97.43589744,21.11913357,100,100,29.42754919,0,100
20131119,78.57142857,100,93.33333333,100,88.88888889,100,100,42.07920792,100,97.43589744,21.11913357,100,100,29.42754919,0,100
20131120,78.57142857,100,93.33333333,100,88.88888889,100,100,42.02719407,100,97.43589744,21.11913357,100,100,29.34879572,0,100
20131121,78.57142857,100,93.33333333,100,88.88888889,100,100,41.92355117,100,97.43589744,21.11913357,100,100,29.24444444,0,100
20131121,80,100,93.33333333,100,88.88888889,100,100,41.92355117,100,97.43589744,21.11913357,100,100,29.24444444,0,100
20131122,80,100,93.33333333,100,88.88888889,100,100,41.87192118,100,97.43589744,21.11913357,100,100,29.24444444,0,100
20131122,80,100,93.33333333,100,88.88888889,100,100,41.87192118,100,97.5,21.26126126,100,100,29.24444444,0,100
20131123,80,100,93.33333333,100,88.88888889,100,100,41.76904177,100,97.5,21.26126126,100,100,29.21847247,0,100
20131123,80,100,93.33333333,100,88.88888889,100,100,41.76904177,100,97.5,21.26126126,100,100,29.28127773,0,100
20131124,80,100,93.33333333,100,88.88888889,100,100,41.76904177,100,97.5,21.22302158,100,100,29.25531915,0,100
20131124,80,100,93.33333333,100,88.88888889,100,100,41.76904177,100,97.5,21.22302158,100,100,29.22940655,0,100
20131124,80,100,93.33333333,100,88.88888889,100,100,41.8404908,100,97.5,21.22302158,100,100,29.2920354,0,100
20131125,80,100,93.33333333,100,88.88888889,100,100,41.8404908,100,97.5,21.18491921,100,100,29.2920354,0,100
20131125,80,100,93.33333333,100,88.88888889,100,100,41.7380661,100,97.5,21.14695341,100,100,29.2920354,0,100
20131125,81.25,100,93.33333333,100,88.88888889,100,100,41.7380661,100,97.5,21.14695341,100,100,29.35455349,0,100
20131126,81.25,100,93.33333333,100,88.88888889,100,100,41.7380661,100,97.5,21.14695341,100,100,29.32862191,0,100
20131126,81.25,100,93.33333333,100,88.88888889,100,100,41.7380661,100,97.5,21.28801431,100,100,29.32862191,0,100
20131127,81.25,100,93.33333333,100,88.88888889,100,100,41.68704156,100,97.5,21.28801431,100,100,29.25110132,0,100
20131128,81.25,100,93.33333333,100,88.88888889,100,100,41.63614164,100,97.5,21.28801431,100,100,29.25110132,0,100
20131128,81.25,100,93.33333333,100,88.88888889,100,100,41.63614164,100,97.5,21.42857143,100,100,29.25110132,0,100
20131128,81.25,100,93.33333333,100,88.88888889,100,100,41.58536585,100,97.5,21.42857143,100,100,29.25110132,0,100
20131129,81.25,100,93.33333333,100,88.88888889,100,100,41.58536585,100,97.5,21.42857143,100,100,29.22535211,0,100
20131129,81.25,100,93.33333333,100,88.88888889,100,100,41.53471376,100,97.5,21.42857143,100,100,29.22535211,0,100
20131130,81.25,100,93.33333333,100,88.88888889,100,100,41.48418491,100,97.5,21.39037433,100,100,29.17398946,0,100
20131130,81.25,100,93.33333333,100,88.88888889,100,100,41.55528554,100,97.5,21.53024911,100,100,29.17398946,0,100
20131201,81.25,100,93.33333333,100,88.88888889,100,100,41.50485437,100,97.5,21.53024911,100,100,29.17398946,0,100
20131201,81.25,100,93.33333333,100,88.88888889,100,100,41.45454545,100,97.5,21.53024911,100,100,29.14837577,0,100
20131201,81.25,100,93.33333333,100,88.88888889,100,100,41.52542373,100,97.5,21.53024911,100,100,29.21052632,0,100
20131202,81.25,100,93.33333333,100,88.88888889,100,100,41.52542373,100,97.5,21.53024911,100,100,29.15936953,0,100
20131202,81.25,100,93.33333333,100,88.88888889,100,100,41.66666667,100,97.5,21.53024911,100,100,29.15936953,0,100
20131203,81.25,100,93.33333333,100,88.88888889,100,100,41.66666667,100,97.5,21.53024911,100,100,29.13385827,0,100
20131203,81.25,100,93.33333333,100,88.88888889,100,100,41.56626506,100,97.5,21.53024911,100,100,29.10839161,0,100
20131203,81.25,100,93.33333333,100,88.88888889,100,100,41.63658243,100,97.5,21.53024911,100,100,29.17030568,0,100
20131204,81.25,100,93.33333333,100,88.88888889,100,100,41.58653846,100,97.5,21.53024911,100,100,29.14485166,0,100
20131204,81.25,100,93.33333333,100,88.88888889,100,100,41.48681055,100,97.5,21.4920071,100,100,29.14485166,0,100
20131204,81.25,100,93.33333333,100,88.88888889,100,100,41.55688623,100,97.5,21.63120567,100,100,29.14485166,0,100
20131205,81.25,100,93.33333333,100,88.88888889,100,100,41.55688623,100,97.5,21.63120567,100,100,29.11944202,0,100
20131205,81.25,100,93.33333333,100,88.88888889,100,100,41.50717703,100,97.5,21.55477032,100,100,29.04347826,0,100
20131205,81.25,100,93.33333333,100,88.88888889,100,100,41.57706093,100,97.5,21.69312169,100,100,29.04347826,0,100
20131206,81.25,100,93.33333333,100,88.88888889,100,100,41.47794994,100,97.5,21.65492958,100,100,29.04347826,0,100
20131206,82.35294118,100,93.33333333,100,88.88888889,100,100,41.54761905,100,97.5,21.65492958,100,100,29.10512598,0,100
20131206,82.35294118,100,93.33333333,100,88.88888889,100,100,41.49821641,100,97.5,21.65492958,100,100,29.10512598,0,100
20131207,82.35294118,100,93.33333333,100,88.88888889,100,100,41.44893112,100,97.5,21.6168717,100,100,29.07986111,0,100
20131207,82.35294118,100,93.33333333,100,88.88888889,100,100,41.44893112,100,97.5,21.6168717,100,100,29.20277296,0,100
20131208,82.35294118,100,93.33333333,100,88.88888889,100,100,41.58767773,100,97.5,21.6168717,100,100,29.20277296,0,100
20131209,82.35294118,100,93.33333333,100,88.88888889,100,100,41.58767773,100,97.5,21.6168717,100,100,29.12705272,0,100
20131210,82.35294118,100,93.33333333,100,88.88888889,100,100,41.53846154,100,97.5,21.6168717,100,100,29.12705272,0,100
20131210,82.35294118,100,93.33333333,100,88.88888889,100,100,41.39150943,100,97.5,21.6168717,100,100,29.12705272,0,100
20131211,82.35294118,100,93.33333333,100,88.88888889,100,100,41.34275618,100,97.5,21.6168717,100,100,29.12705272,0,100
20131211,82.35294118,100,93.33333333,100,88.88888889,100,100,41.29411765,100,97.5,21.57894737,100,100,29.05172414,0,100
20131211,83.33333333,100,93.33333333,100,88.88888889,100,100,41.29411765,100,97.56097561,21.57894737,100,100,29.05172414,0,100
20131212,83.33333333,100,93.33333333,100,88.88888889,100,100,41.1971831,100,97.56097561,21.57894737,100,100,29.00172117,0,100
20131212,83.33333333,100,93.33333333,100,88.88888889,100,100,41.1971831,100,97.56097561,21.57894737,100,100,29.0627687,0,100
20131213,83.33333333,100,93.33333333,100,88.88888889,100,100,41.14888628,100,97.56097561,21.57894737,100,100,29.0627687,0,100
20131213,83.33333333,100,93.33333333,100,88.88888889,100,100,41.14888628,100,97.56097561,21.57894737,100,100,29.03780069,0,100
