school_name,latitude,longitude,avg_resale
CHIJ OUR LADY QUEEN OF PEACE,1.366758014,103.7676948,343899.66062715946
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.300798691,103.7856922,427927.5987078373
GEYLANG METHODIST SCHOOL (PRIMARY),1.318144168,103.8836285,365337.94703781465
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349114574,103.8544477,857319.1176754327
ST. HILDA'S PRIMARY SCHOOL,1.349349944,103.9379205,496012.7874777093
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.320394162,103.8299478,593103.9817283277
METHODIST GIRLS' SCHOOL (PRIMARY),1.33286306,103.7833634,788263.0029425151
NAN CHIAU PRIMARY SCHOOL,1.392064681,103.890925,424583.7334884368
CANOSSA CATHOLIC PRIMARY SCHOOL,1.326853515,103.8810021,365337.9469947456
KONG HWA SCHOOL,1.311114219,103.8882094,366310.7778936408
MEE TOH SCHOOL,1.394853563,103.9085726,396374.4973556894
NGEE ANN PRIMARY SCHOOL,1.305525067,103.917463,552174.4215221346
RED SWASTIKA SCHOOL,1.33349383,103.9343749,496012.7874777093
TAO NAN SCHOOL,1.304631529,103.9112042,399875.9810054457
NANYANG PRIMARY SCHOOL,1.321070942,103.8076819,427927.47668504657
ST. ANTHONY'S PRIMARY SCHOOL,1.364639125,103.749294,380486.61762234796
MAHA BODHI SCHOOL,1.328580239,103.9013069,395162.8447105067
PEI CHUN PUBLIC SCHOOL,1.332740881,103.8586287,862970.2888492127
POI CHING SCHOOL,1.358087001,103.9353525,556547.1960448895
KHENG CHENG SCHOOL,1.337407636,103.8477611,862944.3942919113
NAN HUA PRIMARY SCHOOL,1.306142317,103.7651726,572160.5089595146
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338055078,103.7761082,788248.8448333703
AI TONG SCHOOL,1.36058343,103.8330203,469365.50935480266
HONG WEN SCHOOL,1.321689285,103.8576518,727381.1553411001
HOLY INNOCENTS' PRIMARY SCHOOL,1.366737841,103.8936841,302163.48727410496
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.349841864,103.8849784,252147.00815518832
CHONGFU SCHOOL,1.438462312,103.8390707,463269.1548062405
CHIJ (KATONG) PRIMARY,1.306526862,103.9109216,399875.9810054457
ANGLO-CHINESE SCHOOL (PRIMARY),1.318718599,103.8353452,447294.29334941966
CATHOLIC HIGH SCHOOL,1.354788877,103.8449341,857566.9462860513
MARIS STELLA HIGH SCHOOL,1.342183956,103.8780965,251706.80514427074
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.373729673,103.8343089,469365.5061158319
MARYMOUNT CONVENT SCHOOL,1.340427023,103.839899,857319.1176754327
